total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
3033,2838.69,14.3905,0.209631,2262.13,11.5109
3034,2839.58,14.3989,0.194569,2262.7,10.583
3035,2840.42,14.4108,0.183926,2263.1,9.8995
3036,2841.29,14.4202,0.16765,2263.6,9.08295
3037,2842.1,14.4341,0.158721,2263.89,8.57321
3038,2842.93,14.4472,0.148386,2264.21,8.21584
3039,2843.74,14.4609,0.137553,2264.5,7.58288
3040,2844.53,14.4761,0.13026,2264.7,7.14143
3041,2845.33,14.491,0.121157,2264.94,6.74537
3042,2846.12,14.5067,0.114354,2265.12,6.2849
3043,2846.91,14.5228,0.109862,2265.28,6.04152
3044,2847.68,14.5391,0.104743,2265.44,5.56776
3045,2848.46,14.5556,0.0992833,2265.58,5.38516
3046,2849.23,14.5728,0.0974999,2265.69,5.52268
3047,2850,14.5895,0.0956832,2265.83,5.14782
3048,2850.77,14.6066,0.092686,2265.95,5
3049,2851.54,14.6239,0.092686,2266.05,5.2915
3050,2852.31,14.6412,0.092108,2266.16,5.04975
3051,2853.08,14.658,0.0928505,2266.3,5.09902
3052,2853.84,14.6758,0.0918592,2266.39,5.2915
3053,2854.61,14.6929,0.0933422,2266.52,5.04975
3054,2855.38,14.7101,0.0956832,2266.64,5.14782
3055,2856.14,14.7274,0.0974216,2266.75,5.43139
3056,2856.91,14.7444,0.100125,2266.89,5.38516
3057,2857.69,14.761,0.10298,2267.05,5.70088
3058,2858.45,14.7785,0.105179,2267.16,5.83095
3059,2859.24,14.7942,0.110761,2267.37,6.44205
3060,2860,14.8119,0.112606,2267.48,6
3061,2860.78,14.8282,0.117577,2267.65,6.67083
3062,2861.58,14.8431,0.122845,2267.92,6.74537
3063,2862.35,14.8601,0.125852,2268.06,6.9282
3064,2863.15,14.8753,0.130553,2268.31,7.10634
3065,2863.93,14.8909,0.135598,2268.53,7.31437
3066,2864.73,14.9058,0.139863,2268.79,7.64853
3067,2865.53,14.9206,0.145216,2269.06,7.81025
3068,2866.34,14.935,0.150631,2269.35,8.30662
3069,2867.15,14.9492,0.155172,2269.65,8.39643
3070,2867.96,14.963,0.160251,2269.98,8.83176
3071,2868.77,14.9771,0.165682,2270.29,8.97218
3072,2869.61,14.9892,0.17103,2270.71,9.24662
3073,2870.45,15.0005,0.17682,2271.17,9.32738
3074,2871.25,15.0157,0.180112,2271.42,9.74679
3075,2872.11,15.026,0.186193,2271.94,10.0747
3076,2872.96,15.0371,0.191167,2272.42,10.2225
3077,2873.84,15.0462,0.197062,2273,10.4163
3078,2874.68,15.0579,0.200364,2273.43,10.8858
3079,2875.54,15.0682,0.204957,2273.95,10.7005
3080,2876.42,15.0768,0.209413,2274.56,11.158
3081,2877.28,15.0872,0.21324,2275.07,11.2027
3082,2878.19,15.0945,0.217561,2275.74,11.7047
3083,2879.07,15.1031,0.219967,2276.35,11.5974
3084,2879.96,15.1115,0.223238,2276.97,11.7898
3085,2880.85,15.1195,0.225922,2277.61,11.9164
3086,2881.73,15.1286,0.228941,2278.19,12.227
3087,2882.65,15.1342,0.230469,2278.95,12.0623
3088,2883.55,15.1413,0.232643,2279.63,12.3491
3089,2884.43,15.1506,0.235285,2280.2,12.2678
3090,2885.36,15.1556,0.236126,2280.99,12.4097
3091,2886.31,15.159,0.237254,2281.87,12.49
3092,2887.22,15.1657,0.239463,2282.58,12.7671
3093,2888.12,15.1731,0.240353,2283.25,12.6095
3094,2889.07,15.1774,0.242188,2284.08,12.7671
3095,2889.97,15.1846,0.244039,2284.76,12.9615
3096,2890.9,15.1895,0.246311,2285.56,12.9615
3097,2891.82,15.1953,0.248531,2286.31,13.1529
3098,2892.77,15.1997,0.250731,2287.14,13.2288
3099,2893.71,15.2039,0.252701,2287.97,13.3417
3100,2894.67,15.2071,0.259258,2288.87,13.8564
3101,2895.6,15.2121,0.262853,2289.68,13.9284
3102,2896.56,15.2152,0.265826,2290.57,14.1598
3103,2897.52,15.2178,0.269503,2291.49,14.3178
3104,2898.5,15.219,0.275411,2292.5,14.6799
3105,2899.49,15.2199,0.280353,2293.51,14.9499
3106,2900.46,15.2223,0.28545,2294.44,15.2807
3107,2901.45,15.2229,0.290037,2295.48,15.346
3108,2902.48,15.2211,0.294501,2296.63,15.5885
3109,2903.48,15.221,0.29826,2297.7,15.7639
3110,2904.52,15.2181,0.302501,2298.91,15.9217
3111,2905.54,15.216,0.306659,2300.09,16.3554
3112,2906.58,15.2138,0.30894,2301.26,16.5831
3113,2907.61,15.2108,0.311326,2302.48,16.4317
3114,2908.69,15.205,0.31206,2303.84,16.5529
3115,2909.74,15.2017,0.312988,2305.07,16.5076
3116,2910.8,15.1968,0.313767,2306.39,16.6733
3117,2911.86,15.193,0.31418,2307.65,16.4012
3118,2912.9,15.19,0.313767,2308.86,16.5378
3119,2913.97,15.1847,0.311571,2310.19,16.7033
3120,2915.02,15.1805,0.310418,2311.46,16.6583
3121,2916.04,15.1793,0.310713,2312.59,16.568
3122,2917.09,15.1756,0.311962,2313.85,16.7631
3123,2918.16,15.1706,0.310811,2315.17,16.5378
3124,2919.22,15.166,0.312915,2316.47,16.6433
3125,2920.27,15.162,0.317105,2317.75,17.0441
3126,2921.34,15.1571,0.323701,2319.08,17.4642
3127,2922.4,15.153,0.330419,2320.36,18
3128,2923.51,15.1443,0.339754,2321.91,18.4391
3129,2924.64,15.135,0.350824,2323.48,19.1964
3130,2925.79,15.1235,0.366439,2325.2,20.1122
3131,2926.99,15.1087,0.382992,2327.09,21
3132,2928.24,15.0906,0.400233,2329.17,22.0341
3133,2929.53,15.0692,0.419899,2331.43,23.2056
3134,2930.86,15.0445,0.439084,2333.87,24.4949
3135,2932.26,15.0148,0.457832,2336.6,25.318
3136,2933.66,14.9852,0.476627,2339.33,26.5895
3137,2935.22,14.944,0.49321,2342.69,27.4773
3138,2936.75,14.9045,0.506248,2345.97,28.2577
3139,2938.34,14.8606,0.516793,2349.49,28.905
3140,2940,14.8123,0.523758,2353.26,29.2746
3141,2941.64,14.7643,0.523889,2357.01,29.3513
3142,2943.27,14.7178,0.518429,2360.67,29.0431
3143,2944.91,14.6707,0.511435,2364.38,28.7837
3144,2946.46,14.6297,0.498533,2367.73,28
3145,2947.97,14.5921,0.481912,2370.89,27.1846
3146,2949.46,14.5561,0.463183,2373.97,26.0864
3147,2950.88,14.5247,0.440905,2376.78,24.8294
3148,2952.22,14.4994,0.418534,2379.25,23.696
3149,2953.54,14.4757,0.395478,2381.63,22.3047
3150,2954.8,14.4564,0.371258,2383.76,21.0119
3151,2955.94,14.4463,0.34932,2385.36,19.7737
3152,2957.08,14.436,0.326937,2386.98,18.5068
3153,2958.17,14.4292,0.305787,2388.41,17.3349
3154,2959.21,14.4261,0.285984,2389.62,16.2942
3155,2960.2,14.427,0.268169,2390.6,15.248
3156,2961.17,14.4288,0.251309,2391.53,14.2478
3157,2962.14,14.4316,0.233984,2392.41,13.2288
3158,2963.05,14.4383,0.219029,2393.07,12.3288
3159,2963.95,14.4455,0.205812,2393.69,11.7686
3160,2964.84,14.4537,0.192519,2394.26,10.9316
3161,2965.71,14.4632,0.180704,2394.76,10.1489
3162,2966.56,14.474,0.169055,2395.18,9.59166
3163,2967.4,14.4862,0.160251,2395.52,9.11043
