total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
2124,1918.3,15.2338,0.570901,1258.57,20.3439
2125,1919.97,15.1849,0.555567,1261.36,19.8021
2126,1921.55,15.1417,0.531896,1263.94,18.9671
2127,1923.03,15.1059,0.504632,1266.25,17.9583
2128,1924.41,15.0775,0.475071,1268.29,16.893
2129,1925.75,15.0527,0.439536,1270.2,15.6285
2130,1926.95,15.0381,0.405705,1271.74,14.4439
2131,1928.04,15.0314,0.373839,1273,13.2806
2132,1929.05,15.0303,0.343839,1274.07,12.1552
2133,1930.03,15.0319,0.312915,1275.03,11.1524
2134,1930.95,15.0376,0.284674,1275.85,10.1489
2135,1931.8,15.0491,0.260667,1276.46,9.19918
2136,1932.6,15.0638,0.238921,1276.96,8.47791
2137,1933.4,15.0784,0.217105,1277.46,7.72981
2138,1934.15,15.0968,0.199983,1277.83,7.05337
2139,1934.88,15.1172,0.184133,1278.13,6.47109
2140,1935.6,15.138,0.168694,1278.42,5.8843
2141,1936.28,15.1614,0.156738,1278.62,5.53399
2142,1936.96,15.1849,0.146263,1278.81,5.22015
2143,1937.64,15.2088,0.136663,1278.99,4.75657
2144,1938.31,15.2336,0.129084,1279.15,4.5
2145,1938.96,15.2593,0.122347,1279.27,4.30116
2146,1939.62,15.2844,0.115416,1279.41,4.07738
2147,1940.27,15.3105,0.110209,1279.52,3.90512
2148,1940.92,15.3367,0.10619,1279.63,3.55317
