total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
98,97.6457,0.0262397,7.62939e-06,0.0889494,0.306129
99,98.6446,0.0263208,0,0.0889435,0.30612
100,99.6435,0.0264027,7.62939e-06,0.0889436,0.30612
101,100.642,0.0264847,1.07896e-05,0.0889435,0.30612
102,101.641,0.0265666,7.62939e-06,0.0889435,0.30612
103,102.64,0.0266505,0,0.0889438,0.306121
104,103.639,0.0267342,7.62939e-06,0.0889499,0.306131
105,104.638,0.0268171,nan,0.0889493,0.306129
106,105.637,0.0269018,nan,0.08895,0.306131
107,106.636,0.0269857,nan,0.0889436,0.306121
108,107.634,0.0270704,nan,0.0889493,0.306129
109,108.633,0.0271552,0,0.0889434,0.30612
110,109.632,0.0272409,7.62939e-06,0.0889434,0.30612
111,110.631,0.0273266,nan,0.0889434,0.30612
112,111.63,0.0274141,0,0.0889442,0.306123
113,112.629,0.0275007,nan,0.0889493,0.306129
114,113.628,0.0275874,0,0.0889434,0.30612
115,114.626,0.0276749,nan,0.0889434,0.30612
116,115.625,0.0277642,nan,0.0889499,0.306131
117,116.624,0.0278519,7.62939e-06,0.0889434,0.30612
118,117.623,0.0279413,7.62939e-06,0.0889436,0.306121
119,118.622,0.0280307,0,0.0889436,0.306121
120,119.62,0.0281201,7.62939e-06,0.0889434,0.30612
121,120.619,0.0282112,nan,0.0889549,0.306138
122,121.618,0.0283008,1.07896e-05,0.0889433,0.30612
123,122.617,0.028392,1.07896e-05,0.0889434,0.30612
124,123.615,0.0284833,7.62939e-06,0.0889433,0.30612
125,124.614,0.0285764,nan,0.0889446,0.306124
126,125.613,0.0286677,1.32145e-05,0.0889433,0.30612
127,126.612,0.0287608,0,0.0889433,0.30612
128,127.61,0.028854,0,0.0889433,0.30612
129,128.609,0.0289488,1.07896e-05,0.0889547,0.306137
130,129.608,0.0290421,nan,0.0889433,0.30612
131,130.607,0.0291371,nan,0.0889433,0.30612
132,131.605,0.0292321,0,0.0889433,0.30612
133,132.604,0.0293288,0,0.0889545,0.306137
134,133.603,0.0294239,1.52588e-05,0.0889433,0.30612
135,134.601,0.0295208,1.07896e-05,0.0889434,0.306121
136,135.6,0.0296177,nan,0.0889435,0.306121
137,136.599,0.0297145,1.32145e-05,0.0889432,0.306119
138,137.597,0.0298132,1.32145e-05,0.0889434,0.306121
139,138.596,0.0299119,nan,0.0889434,0.306121
140,139.595,0.0300107,7.62939e-06,0.0889434,0.306121
141,140.593,0.0301094,nan,0.0889432,0.306119
142,141.592,0.03021,nan,0.0889432,0.30612
143,142.591,0.0303106,7.62939e-06,0.0889434,0.306121
144,143.589,0.0304111,nan,0.0889432,0.30612
145,144.588,0.0305136,nan,0.0889444,0.306124
146,145.587,0.0306159,7.62939e-06,0.0889541,0.306137
147,146.585,0.0307183,1.52588e-05,0.0889542,0.306137
148,147.584,0.0308209,1.70598e-05,0.0889444,0.306124
149,148.582,0.0309251,1.70598e-05,0.0889541,0.306137
150,149.581,0.0310277,7.62939e-06,0.0889431,0.306119
151,150.58,0.0311337,0,0.0889541,0.306137
152,151.578,0.0312381,1.07896e-05,0.0889443,0.306123
153,152.577,0.0313442,1.07896e-05,0.088954,0.306136
154,153.575,0.0314503,nan,0.0889539,0.306136
155,154.574,0.0315567,nan,0.0889443,0.306123
156,155.572,0.0316628,nan,0.088943,0.306119
157,156.571,0.0317709,nan,0.0889431,0.306119
158,157.57,0.0318789,nan,0.088943,0.306119
159,158.568,0.0319888,nan,0.0889442,0.306123
160,159.567,0.0320987,0,0.0889443,0.306123
161,160.565,0.0322086,nan,0.0889442,0.306123
162,161.564,0.0323185,nan,0.088943,0.306119
163,162.562,0.0324302,1.07896e-05,0.0889442,0.306123
164,163.561,0.032542,0,0.0889442,0.306123
165,164.559,0.0326538,nan,0.0889432,0.30612
166,165.558,0.0327672,0,0.0889536,0.306136
167,166.556,0.032881,1.07896e-05,0.0889442,0.306123
168,167.554,0.0329946,nan,0.0889441,0.306123
169,168.553,0.0331082,1.07896e-05,0.0889429,0.306119
170,169.551,0.0332237,nan,0.0889429,0.306119
171,170.55,0.0333409,1.86881e-05,0.0889534,0.306135
172,171.548,0.0334565,0,0.088944,0.306123
173,172.547,0.0335739,1.52588e-05,0.0889431,0.30612
174,173.545,0.0336912,nan,0.088944,0.306123
175,174.543,0.0338103,1.07896e-05,0.0889534,0.306135
176,175.542,0.0339278,0,0.0889428,0.306119
177,176.54,0.0340487,nan,0.0889533,0.306135
178,177.539,0.0341681,nan,0.088943,0.30612
179,178.537,0.0342892,0,0.088943,0.30612
180,179.535,0.0344119,1.07896e-05,0.0889534,0.306136
181,180.534,0.034533,nan,0.0889531,0.306135
182,181.532,0.0346559,0,0.088953,0.306135
183,182.53,0.034779,nan,0.0889439,0.306123
184,183.529,0.0349038,0,0.0889439,0.306123
185,184.527,0.0350285,1.07896e-05,0.088953,0.306135
186,185.525,0.0351534,1.86881e-05,0.0889429,0.30612
187,186.524,0.0352801,nan,0.0889439,0.306123
188,187.522,0.0354067,1.52588e-05,0.0889438,0.306123
189,188.52,0.0355334,nan,0.0889428,0.30612
190,189.518,0.0356618,nan,0.0889528,0.306134
191,190.517,0.0357904,1.07896e-05,0.0889428,0.30612
192,191.515,0.0359208,1.86881e-05,0.0889439,0.306123
193,192.513,0.0360512,0,0.0889439,0.306123
194,193.511,0.0361816,nan,0.0889438,0.306123
195,194.51,0.036312,1.07896e-05,0.0889426,0.306118
196,195.508,0.0364461,2.15792e-05,0.0889439,0.306123
197,196.506,0.0365783,0,0.0889436,0.306122
198,197.504,0.0367123,1.52588e-05,0.0889526,0.306134
199,198.502,0.0368466,1.07896e-05,0.0889436,0.306122
200,199.501,0.0369825,1.86881e-05,0.0889436,0.306122
201,200.499,0.0371184,1.07896e-05,0.0889524,0.306134
202,201.497,0.0372545,2.85466e-05,0.0889426,0.306119
203,202.495,0.0373923,2.6429e-05,0.0889427,0.306119
204,203.493,0.0375302,nan,0.0889424,0.306118
205,204.491,0.0376698,1.86881e-05,0.0889435,0.306122
206,205.489,0.0378096,1.86881e-05,0.0889426,0.306119
207,206.488,0.0379511,0,0.0889437,0.306123
208,207.486,0.0380927,1.07896e-05,0.0889436,0.306123
209,208.484,0.0382342,2.6429e-05,0.0889435,0.306122
210,209.482,0.0383775,1.86881e-05,0.0889521,0.306134
211,210.48,0.0385211,1.86881e-05,0.0889436,0.306123
212,211.478,0.0386664,1.86881e-05,0.0889436,0.306123
213,212.476,0.0388116,1.07896e-05,0.0889435,0.306123
214,213.474,0.0389569,nan,0.0889425,0.306119
215,214.472,0.0391056,2.15792e-05,0.0889617,0.306148
216,215.47,0.0392512,0,0.0889422,0.306118
217,216.468,0.0394002,0,0.0889424,0.306119
218,217.466,0.0395493,nan,0.0889422,0.306118
219,218.464,0.0397018,1.07896e-05,0.0889529,0.306136
220,219.462,0.039851,1.86881e-05,0.0889421,0.306118
221,220.46,0.0400037,2.15792e-05,0.0889423,0.306119
222,221.458,0.0401565,2.41263e-05,0.0889421,0.306118
223,222.456,0.0403128,2.41263e-05,0.0889528,0.306136
224,223.454,0.0404657,1.07896e-05,0.0889423,0.306119
225,224.451,0.0406221,1.07896e-05,0.0889433,0.306122
226,225.449,0.0407786,0,0.0889433,0.306122
227,226.447,0.0409351,1.86881e-05,0.0889421,0.306118
228,227.445,0.0410952,1.86881e-05,0.0889441,0.306125
229,228.443,0.0412551,2.15792e-05,0.0889609,0.306147
230,229.441,0.0414153,0,0.0889609,0.306147
231,230.439,0.0415758,1.52588e-05,0.088944,0.306125
232,231.436,0.041736,1.07896e-05,0.0889419,0.306118
233,232.434,0.0418999,0,0.0889422,0.306119
234,233.432,0.0420638,1.07896e-05,0.0889421,0.306118
235,234.43,0.0422295,nan,0.0889513,0.306132
236,235.428,0.0423954,nan,0.088943,0.306122
237,236.425,0.042563,nan,0.0889439,0.306124
238,237.423,0.0427306,nan,0.0889439,0.306124
239,238.421,0.0428983,nan,0.088942,0.306118
240,239.418,0.0430696,1.07896e-05,0.0889438,0.306124
241,240.416,0.0432409,nan,0.088952,0.306135
242,241.414,0.0434124,nan,0.0889438,0.306124
243,242.412,0.0435838,nan,0.0889417,0.306117
244,243.409,0.0437589,nan,0.088942,0.306119
245,244.407,0.0439339,0,0.0889428,0.306121
246,245.404,0.044109,nan,0.0889418,0.306118
247,246.402,0.0442878,nan,0.0889436,0.306124
248,247.4,0.0444665,nan,0.0889517,0.306134
249,248.397,0.0446454,1.52588e-05,0.0889436,0.306124
250,249.395,0.0448243,nan,0.0889419,0.306118
251,250.392,0.0450068,nan,0.0889435,0.306123
252,251.39,0.0451893,nan,0.0889435,0.306123
253,252.387,0.0453719,nan,0.0889418,0.306118
254,253.385,0.0455581,nan,0.0889434,0.306123
255,254.382,0.0457444,1.52588e-05,0.0889434,0.306123
256,255.38,0.0459307,nan,0.0889433,0.306123
257,256.377,0.0461204,0,0.0889593,0.306145
258,257.375,0.0463069,nan,0.0889416,0.306118
259,258.372,0.0465003,2.15792e-05,0.0889592,0.306145
260,259.37,0.0466906,nan,0.0889432,0.306123
261,260.367,0.0468843,0,0.0889432,0.306123
262,261.364,0.0470781,nan,0.0889432,0.306123
263,262.362,0.0472718,nan,0.0889415,0.306118
264,263.359,0.0474692,nan,0.0889431,0.306123
265,264.356,0.0476667,nan,0.0889414,0.306117
266,265.354,0.0478675,1.52588e-05,0.0889588,0.306144
267,266.351,0.0480653,nan,0.0889414,0.306117
268,267.348,0.0482664,nan,0.0889414,0.306117
269,268.346,0.048471,0,0.0889585,0.306143
270,269.343,0.0486759,nan,0.0889586,0.306143
271,270.34,0.0488808,nan,0.0889584,0.306143
272,271.337,0.049086,nan,0.0889412,0.306117
273,272.334,0.0492946,0,0.0889429,0.306123
274,273.332,0.0495032,1.52588e-05,0.0889411,0.306117
275,274.329,0.0497153,nan,0.0889581,0.306143
276,275.326,0.0499276,nan,0.0889584,0.306144
277,276.323,0.0501399,nan,0.0889581,0.306143
278,277.32,0.0503526,nan,0.088941,0.306117
279,278.317,0.0505687,nan,0.088941,0.306117
280,279.314,0.0507881,0,0.0889577,0.306142
281,280.311,0.0510079,nan,0.0889579,0.306143
282,281.308,0.0512277,nan,0.0889575,0.306142
283,282.305,0.0514478,0,0.0889424,0.306122
