total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
106,105.637,0.0269018,7.62939e-06,0.0840159,0.287719
107,106.636,0.0269857,0,0.0840101,0.28771
108,107.634,0.0270704,nan,0.0840155,0.287718
109,108.633,0.0271552,nan,0.08401,0.28771
110,109.632,0.0272409,1.07896e-05,0.08401,0.28771
111,110.631,0.0273266,nan,0.08401,0.287709
112,111.63,0.0274141,0,0.0840104,0.287711
113,112.629,0.0275007,7.62939e-06,0.0840155,0.287718
114,113.628,0.0275874,0,0.08401,0.28771
115,114.626,0.0276749,7.62939e-06,0.08401,0.287709
116,115.625,0.0277642,0,0.0840158,0.287719
117,116.624,0.0278519,1.07896e-05,0.08401,0.28771
118,117.623,0.0279413,nan,0.08401,0.28771
119,118.622,0.0280307,nan,0.08401,0.28771
120,119.62,0.0281201,0,0.08401,0.28771
121,120.619,0.0282112,7.62939e-06,0.0840209,0.287726
122,121.618,0.0283008,1.32145e-05,0.08401,0.287709
123,122.617,0.028392,1.32145e-05,0.08401,0.28771
124,123.615,0.0284833,7.62939e-06,0.0840099,0.287709
125,124.614,0.0285764,1.52588e-05,0.0840105,0.287712
126,125.613,0.0286677,0,0.0840099,0.287709
127,126.612,0.0287608,nan,0.0840099,0.287709
128,127.61,0.028854,nan,0.0840099,0.287709
129,128.609,0.0289488,1.07896e-05,0.0840207,0.287726
130,129.608,0.0290421,7.62939e-06,0.0840099,0.287709
131,130.607,0.0291371,1.07896e-05,0.0840099,0.287709
132,131.605,0.0292321,0,0.0840099,0.287709
133,132.604,0.0293288,1.07896e-05,0.0840205,0.287726
134,133.603,0.0294239,nan,0.0840099,0.287709
135,134.601,0.0295208,nan,0.0840099,0.28771
136,135.6,0.0296176,nan,0.0840099,0.28771
137,136.599,0.0297145,nan,0.0840098,0.287709
138,137.597,0.0298132,1.86881e-05,0.0840099,0.28771
139,138.596,0.0299119,1.07896e-05,0.0840099,0.28771
140,139.595,0.0300107,0,0.0840099,0.28771
141,140.593,0.0301094,7.62939e-06,0.0840098,0.287709
142,141.592,0.03021,1.07896e-05,0.0840098,0.287709
143,142.591,0.0303106,0,0.0840099,0.28771
144,143.589,0.0304111,7.62939e-06,0.0840098,0.287709
145,144.588,0.0305136,nan,0.0840103,0.287711
146,145.587,0.0306159,0,0.0840201,0.287725
147,146.585,0.0307183,nan,0.0840202,0.287725
148,147.584,0.0308209,0,0.0840103,0.287711
149,148.582,0.0309251,nan,0.0840201,0.287725
150,149.581,0.0310277,7.62939e-06,0.0840097,0.287709
151,150.58,0.0311337,1.52588e-05,0.0840202,0.287725
152,151.578,0.0312381,nan,0.0840103,0.287711
153,152.577,0.0313442,0,0.08402,0.287725
154,153.575,0.0314503,0,0.08402,0.287725
155,154.574,0.0315567,nan,0.0840103,0.287711
156,155.572,0.0316628,nan,0.0840097,0.287709
157,156.571,0.0317709,0,0.0840097,0.287709
158,157.57,0.0318789,0,0.0840096,0.287709
159,158.568,0.0319888,nan,0.0840102,0.287711
160,159.567,0.0320987,0,0.0840103,0.287711
161,160.565,0.0322086,0,0.0840102,0.287711
162,161.564,0.0323185,1.07896e-05,0.0840096,0.287709
163,162.562,0.0324302,1.07896e-05,0.0840102,0.287711
164,163.561,0.032542,nan,0.0840102,0.287711
165,164.559,0.0326538,1.07896e-05,0.0840096,0.287709
166,165.558,0.0327672,1.86881e-05,0.0840197,0.287725
167,166.556,0.032881,1.07896e-05,0.0840102,0.287711
168,167.554,0.0329946,1.07896e-05,0.0840101,0.287711
169,168.553,0.0331082,nan,0.0840095,0.287709
170,169.551,0.0332237,1.07896e-05,0.0840095,0.287709
171,170.55,0.0333409,nan,0.0840195,0.287724
172,171.548,0.0334565,0,0.0840101,0.287711
173,172.547,0.0335739,0,0.0840096,0.287709
174,173.545,0.0336912,0,0.08401,0.287711
175,174.543,0.0338103,nan,0.0840195,0.287724
176,175.542,0.0339278,nan,0.0840095,0.287709
177,176.54,0.0340487,nan,0.0840194,0.287724
178,177.539,0.0341681,nan,0.0840095,0.287709
179,178.537,0.0342892,1.52588e-05,0.0840095,0.287709
180,179.535,0.0344119,nan,0.0840194,0.287724
181,180.534,0.034533,0,0.0840193,0.287724
182,181.532,0.0346559,1.86881e-05,0.0840191,0.287724
183,182.53,0.034779,nan,0.0840099,0.28771
184,183.529,0.0349038,1.07896e-05,0.0840099,0.287711
185,184.527,0.0350285,1.07896e-05,0.0840192,0.287724
186,185.525,0.0351534,nan,0.0840094,0.287709
187,186.524,0.0352801,0,0.0840099,0.287711
188,187.522,0.0354067,1.07896e-05,0.0840099,0.287711
189,188.52,0.0355334,0,0.0840094,0.287709
190,189.518,0.0356618,1.07896e-05,0.0840189,0.287723
191,190.517,0.0357904,1.86881e-05,0.0840093,0.287709
192,191.515,0.0359208,nan,0.0840099,0.287711
193,192.513,0.0360512,nan,0.0840099,0.287711
194,193.511,0.0361816,nan,0.0840098,0.28771
195,194.51,0.036312,0,0.0840092,0.287708
196,195.508,0.0364461,1.07896e-05,0.0840099,0.287711
197,196.506,0.0365783,nan,0.0840097,0.28771
198,197.504,0.0367123,1.07896e-05,0.0840188,0.287723
199,198.502,0.0368466,1.52588e-05,0.0840097,0.28771
200,199.501,0.0369825,1.07896e-05,0.0840097,0.28771
201,200.499,0.0371184,nan,0.0840186,0.287723
202,201.497,0.0372545,1.52588e-05,0.0840092,0.287708
203,202.495,0.0373923,1.52588e-05,0.0840092,0.287709
204,203.493,0.0375302,nan,0.0840091,0.287708
205,204.491,0.0376699,1.52588e-05,0.0840096,0.28771
206,205.489,0.0378096,0,0.0840091,0.287708
207,206.488,0.0379511,1.07896e-05,0.0840097,0.28771
208,207.486,0.0380927,nan,0.0840096,0.28771
