total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
3249,3052.53,14.5502,0.309187,2483.78,17.7059
3250,3053.58,14.5466,0.286171,2485.02,16.2635
3251,3054.6,14.5455,0.26528,2486.11,15.2807
3252,3055.56,14.548,0.246806,2487,14.1598
3253,3056.51,14.552,0.228874,2487.8,13.1719
3254,3057.43,14.5579,0.213204,2488.48,12.3693
3255,3058.32,14.5665,0.199257,2489.03,11.2472
3256,3059.21,14.5742,0.18529,2489.61,10.7238
3257,3060.08,14.584,0.172805,2490.08,10
3258,3060.9,14.5973,0.163504,2490.35,9.43398
3259,3061.76,14.6074,0.152344,2490.8,8.7178
3260,3062.58,14.6207,0.144002,2491.07,8.18535
3261,3063.4,14.6343,0.135429,2491.32,7.71362
3262,3064.21,14.6484,0.128075,2491.55,7.34847
3263,3065.03,14.6619,0.120652,2491.81,6.9282
3264,3065.82,14.6771,0.114287,2491.98,6.63325
3265,3066.62,14.692,0.108183,2492.16,6.16441
3266,3067.41,14.7079,0.102683,2492.29,6.04152
3267,3068.2,14.7232,0.0978903,2492.45,5.61249
3268,3068.98,14.7392,0.094156,2492.58,5.43139
3269,3069.76,14.7554,0.0886469,2492.69,5.19615
3270,3070.54,14.7716,0.0846855,2492.8,5.14782
3271,3071.32,14.7884,0.0813776,2492.89,4.63681
3272,3072.09,14.8054,0.0784174,2492.96,5.04975
3273,3072.87,14.8216,0.0746288,2493.07,4.24264
3274,3073.65,14.8382,0.0733918,2493.17,4.52769
3275,3074.4,14.8562,0.0687766,2493.2,3.80789
3276,3075.18,14.8731,0.0677709,2493.28,3.80789
3277,3075.94,14.8905,0.0646599,2493.34,3.31662
3278,3076.7,14.9079,0.063709,2493.39,3.67423
3279,3077.47,14.9254,0.0617632,2493.45,2.82843
3280,3078.23,14.9428,0.0603892,2493.51,3.80789
3281,3079,14.9604,0.0587238,2493.56,3.60555
3282,3079.75,14.9783,0.0578072,2493.59,3.74166
3283,3080.52,14.9959,0.055929,2493.64,3.31662
3284,3081.27,15.014,0.0544078,2493.67,3.16228
3285,3082.03,15.032,0.0544078,2493.71,3.53553
3286,3082.79,15.0497,0.0524078,2493.76,2.23607
3287,3083.55,15.0677,0.052987,2493.8,3.60555
3288,3084.3,15.0863,0.0521159,2493.81,3.08221
3289,3085.06,15.1042,0.0519693,2493.86,4
3290,3085.82,15.1219,0.0495648,2493.91,1.22474
3291,3086.57,15.1397,0.0498717,2493.97,2.64575
3292,3087.32,15.1583,0.0507812,2493.98,3
3293,3088.08,15.1764,0.0509313,2494.02,3.16228
3294,3088.83,15.1948,0.0494106,2494.05,3.16228
3295,3089.59,15.2129,0.0497184,2494.09,3.4641
3296,3090.34,15.2312,0.05123,2494.13,2.91548
3297,3091.09,15.2495,0.0509313,2494.16,3.60555
3298,3091.84,15.2678,0.0491008,2494.19,3.87298
3299,3092.6,15.2862,0.0501767,2494.23,3
3300,3093.35,15.3048,0.0525532,2494.26,3.24037
3301,3094.09,15.3234,0.0534172,2494.28,3.16228
3302,3094.85,15.3419,0.052987,2494.32,3.24037
3303,3095.59,15.3605,0.0528428,2494.35,3.16228
3304,3096.35,15.3788,0.0538439,2494.39,3.08221
3305,3097.1,15.3972,0.0556555,2494.43,3.74166
3306,3097.85,15.4154,0.0568759,2494.48,4.12311
3307,3098.6,15.4337,0.0580706,2494.53,3.16228
