total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
1921,1719.32,14.9363,0.317129,1053.9,10.6478
1922,1720.21,14.9447,0.319024,1054.67,10.7063
1923,1721.17,14.9478,0.321975,1055.63,10.7645
1924,1722.09,14.9536,0.322898,1056.5,10.7993
1925,1722.99,14.9606,0.323134,1057.33,10.7993
1926,1723.87,14.9698,0.322141,1058.08,10.7121
1927,1724.82,14.9731,0.31888,1059.02,10.6007
1928,1725.72,14.9805,0.316382,1059.83,10.5119
1929,1726.6,14.9896,0.31311,1060.58,10.3923
1930,1727.49,14.9979,0.308198,1061.36,10.1858
1931,1728.37,15.0065,0.303458,1062.13,10.0561
1932,1729.21,15.0184,0.29872,1062.78,9.87421
1933,1730.1,15.0267,0.290563,1063.56,9.60469
1934,1730.94,15.0388,0.285851,1064.21,9.4406
1935,1731.77,15.0511,0.279863,1064.85,9.22632
1936,1732.6,15.0641,0.273577,1065.47,9.01388
1937,1733.41,15.0778,0.268539,1066.07,8.86002
1938,1734.21,15.093,0.262911,1066.61,8.65303
1939,1735,15.108,0.257576,1067.17,8.5
1940,1735.77,15.1255,0.252278,1067.64,8.33667
1941,1736.56,15.141,0.249113,1068.19,8.13941
1942,1737.31,15.1591,0.243538,1068.64,8.03897
1943,1738.09,15.1754,0.238473,1069.14,7.85812
1944,1738.84,15.1938,0.23509,1069.59,7.66486
1945,1739.6,15.2122,0.231526,1070.04,7.58288
1946,1740.34,15.2311,0.228207,1070.47,7.42462
1947,1741.06,15.2522,0.224057,1070.83,7.29726
1948,1741.81,15.2707,0.221005,1071.27,7.20243
1949,1742.5,15.2932,0.218401,1071.59,7.1239
1950,1743.23,15.3134,0.214168,1071.97,7
1951,1743.93,15.3355,0.210901,1072.3,6.84653
1952,1744.64,15.3574,0.207987,1072.64,6.78233
1953,1745.36,15.3781,0.20451,1073.02,6.58597
1954,1746.06,15.4003,0.200707,1073.34,6.47109
1955,1746.74,15.424,0.198067,1073.62,6.39336
1956,1747.43,15.4466,0.194961,1073.93,6.39336
1957,1748.12,15.4695,0.190567,1074.24,6.06218
1958,1748.79,15.4941,0.187459,1074.49,6.07248
1959,1749.46,15.5187,0.184836,1074.75,5.89491
1960,1750.14,15.542,0.181294,1075.04,5.78792
1961,1750.8,15.5675,0.178879,1075.27,5.76628
1962,1751.48,15.5912,0.17539,1075.55,5.61249
1963,1752.14,15.6164,0.173554,1075.79,5.55653
1964,1752.78,15.6432,0.172672,1075.98,5.45436
1965,1753.43,15.6688,0.17152,1076.21,5.43139
1966,1754.1,15.6936,0.169146,1076.46,5.39676
1967,1754.75,15.7191,0.169956,1076.7,5.44289
1968,1755.38,15.7464,0.171475,1076.88,5.44289
1969,1756.04,15.7718,0.174343,1077.12,5.59017
1970,1756.7,15.7973,0.176863,1077.36,5.63471
1971,1757.36,15.8221,0.182217,1077.62,5.73367
1972,1758.03,15.8465,0.187256,1077.89,6
1973,1758.7,15.8713,0.196481,1078.16,6.26498
1974,1759.38,15.8946,0.20633,1078.48,6.61438
1975,1760.08,15.9167,0.216858,1078.83,6.91014
1976,1760.81,15.9373,0.231031,1079.24,7.42462
1977,1761.53,15.9576,0.245006,1079.66,7.89778
1978,1762.3,15.9751,0.260901,1080.16,8.35165
1979,1763.07,15.9917,0.278277,1080.7,8.93029
1980,1763.91,16.0038,0.299587,1081.38,9.57862
1981,1764.76,16.0145,0.318497,1082.1,10.2042
1982,1765.64,16.0233,0.33689,1082.88,10.7529
1983,1766.64,16.0235,0.360308,1083.94,11.4946
1984,1767.6,16.0265,0.378483,1084.91,12.052
1985,1768.67,16.0214,0.397479,1086.13,12.6244
1986,1769.77,16.0141,0.413878,1087.42,13.1006
1987,1770.89,16.0048,0.426515,1088.76,13.5231
1988,1772.06,15.9927,0.435437,1090.19,13.784
1989,1773.16,15.9852,0.440974,1091.48,13.9149
1990,1774.49,15.9609,0.442356,1093.28,13.9329
1991,1775.65,15.9485,0.438301,1094.72,13.7931
1992,1776.84,15.9347,0.430521,1096.19,13.5046
1993,1778,15.9232,0.418753,1097.58,13.0958
1994,1779.14,15.9128,0.402818,1098.94,12.6095
1995,1780.17,15.91,0.38733,1100.05,12.0882
1996,1781.18,15.9093,0.369817,1101.1,11.5488
1997,1782.16,15.9107,0.350454,1102.08,10.943
1998,1783.09,15.9165,0.333316,1102.93,10.4103
1999,1784.02,15.9211,0.313572,1103.81,9.79158
2000,1784.86,15.9333,0.29744,1104.44,9.28036
2001,1785.71,15.9446,0.283762,1105.12,8.92328
2002,1786.5,15.9597,0.272823,1105.68,8.56592
2003,1787.3,15.975,0.264127,1106.23,8.30662
2004,1788.08,15.9907,0.258079,1106.77,8.04674
2005,1788.85,16.0078,0.254776,1107.27,8.03119
2006,1789.61,16.0261,0.256329,1107.73,8.19298
2007,1790.4,16.0412,0.260169,1108.3,8.34416
2008,1791.18,16.0574,0.268311,1108.84,8.5805
2009,1791.96,16.074,0.274607,1109.36,8.75357
2010,1792.77,16.0877,0.286091,1109.98,9.16515
2011,1793.62,16.0992,0.299739,1110.67,9.64365
2012,1794.5,16.1082,0.314204,1111.44,10
2013,1795.37,16.1177,0.327147,1112.19,10.4642
2014,1796.31,16.1221,0.342148,1113.11,10.857
2015,1797.24,16.1272,0.354502,1113.99,11.3192
2016,1798.2,16.1302,0.366938,1114.95,11.694
2017,1799.23,16.1277,0.377797,1116.08,12.0156
2018,1800.26,16.1255,0.387015,1117.2,12.2577
2019,1801.35,16.1195,0.393427,1118.44,12.4599
2020,1802.38,16.117,0.396017,1119.56,12.525
2021,1803.44,16.1125,0.397863,1120.75,12.525
2022,1804.55,16.1045,0.395053,1122.03,12.4599
2023,1805.63,16.0988,0.389177,1123.25,12.2577
2024,1806.62,16.099,0.383171,1124.28,12.083
2025,1807.69,16.0939,0.371977,1125.46,11.6565
2026,1808.7,16.0929,0.359502,1126.53,11.2639
2027,1809.65,16.0972,0.348861,1127.42,10.9373
2028,1810.58,16.102,0.336527,1128.3,10.5594
2029,1811.51,16.1076,0.32654,1129.15,10.2286
2030,1812.42,16.114,0.315126,1129.98,9.97497
2031,1813.31,16.1218,0.308717,1130.77,9.7788
2032,1814.16,16.1336,0.312305,1131.44,9.99375
2033,1815.03,16.1432,0.321406,1132.19,10.3078
2034,1815.94,16.1494,0.33571,1133.04,11.0114
2035,1816.92,16.1513,0.368556,1134.06,12.1244
2036,1817.97,16.1472,0.412808,1135.29,13.7614
2037,1819.17,16.1327,0.47005,1136.87,15.7995
2038,1820.54,16.1052,0.539289,1138.88,18.1384
2039,1822.24,16.0536,0.623068,1141.72,21.0327
2040,1824.24,15.979,0.707646,1145.33,23.9296
2041,1826.67,15.8734,0.79083,1149.99,26.7184
2042,1829.44,15.7425,0.855522,1155.49,28.9331
2043,1832.49,15.5903,0.893311,1161.71,30.2242
2044,1835.71,15.4258,0.895503,1168.32,30.2676
2045,1838.85,15.2672,0.865417,1174.73,29.2767
2046,1841.73,15.1284,0.802732,1180.45,27.1685
2047,1844.31,15.0112,0.720319,1185.43,24.4285
2048,1846.42,14.9293,0.636323,1189.23,21.6477
2049,1848.16,14.874,0.558676,1192.12,19.0722
2050,1849.65,14.8377,0.492094,1194.37,16.8967
2051,1850.97,14.8143,0.432148,1196.19,14.9374
2052,1852.11,14.8042,0.386699,1197.56,13.537
2053,1853.16,14.8001,0.355748,1198.74,12.5549
2054,1854.13,14.8021,0.332422,1199.7,11.8004
2055,1855.11,14.8037,0.316888,1200.69,11.3358
2056,1856.02,14.8103,0.307628,1201.5,11.034
2057,1856.95,14.8154,0.303005,1202.37,10.9545
2058,1857.83,14.8249,0.301136,1203.09,10.9087
2059,1858.76,14.8298,0.300959,1203.98,10.8628
2060,1859.65,14.838,0.301541,1204.74,10.9259
2061,1860.54,14.8464,0.301996,1205.49,10.9943
2062,1861.46,14.8519,0.303935,1206.36,11
2063,1862.36,14.8597,0.305812,1207.14,11.0736
2064,1863.28,14.8656,0.308148,1207.99,11.158
2065,1864.19,14.8723,0.308371,1208.81,11.1467
2066,1865.12,14.8769,0.308569,1209.7,11.2083
2067,1866.04,14.8832,0.310024,1210.54,11.1636
2068,1866.94,14.8906,0.308495,1211.33,11.1692
2069,1867.85,14.897,0.307802,1212.16,11.0793
2070,1868.77,14.9032,0.305588,1212.99,11.0057
2071,1869.68,14.9097,0.304287,1213.82,10.9886
2072,1870.59,14.9165,0.300731,1214.62,10.8051
2073,1871.48,14.9242,0.297132,1215.4,10.6712
2074,1872.4,14.9307,0.292474,1216.22,10.494
2075,1873.26,14.941,0.288084,1216.91,10.3138
2076,1874.12,14.9516,0.283815,1217.58,10.1427
2077,1874.96,14.9629,0.278086,1218.23,9.92472
2078,1875.85,14.9716,0.272823,1218.96,9.75961
2079,1876.67,14.9849,0.267856,1219.54,9.58514
2080,1877.5,14.9969,0.262621,1220.16,9.35414
2081,1878.35,15.0081,0.255016,1220.81,9.08295
2082,1879.14,15.0241,0.250701,1221.29,8.97218
2083,1879.96,15.0374,0.244788,1221.86,8.71063
2084,1880.76,15.0521,0.240195,1222.39,8.55862
2085,1881.52,15.07,0.234408,1222.8,8.34416
2086,1882.31,15.0853,0.23027,1223.31,8.12404
2087,1883.07,15.1032,0.225008,1223.72,7.93725
2088,1883.84,15.1198,0.220106,1224.18,7.78621
2089,1884.6,15.1382,0.215942,1224.58,7.63217
2090,1885.34,15.1571,0.211696,1224.96,7.47496
2091,1886.09,15.1756,0.207804,1225.35,7.37394
2092,1886.82,15.1957,0.204585,1225.69,7.21976
2093,1887.57,15.2138,0.202184,1226.1,7.19375
2094,1888.27,15.2366,0.198336,1226.35,6.88295
2095,1889.03,15.2544,0.196248,1226.77,6.87386
2096,1889.73,15.2764,0.194098,1227.04,6.80992
2097,1890.43,15.2983,0.191645,1227.33,6.7361
2098,1891.17,15.318,0.190046,1227.68,6.72681
2099,1891.9,15.338,0.188353,1228.03,6.5192
2100,1892.61,15.3595,0.186275,1228.32,6.44205
2101,1893.29,15.3827,0.186193,1228.57,6.48074
2102,1894,15.4045,0.185413,1228.85,6.50961
2103,1894.71,15.4259,0.184919,1229.16,6.46142
2104,1895.41,15.4481,0.184877,1229.43,6.46142
2105,1896.13,15.4687,0.186029,1229.77,6.42262
2106,1896.83,15.4909,0.186684,1230.05,6.55744
2107,1897.54,15.5126,0.189644,1230.34,6.64266
2108,1898.27,15.5328,0.190167,1230.7,6.59545
2109,1898.96,15.5556,0.193901,1230.96,6.71751
2110,1899.68,15.5761,0.198028,1231.3,6.91014
2111,1900.39,15.5979,0.204174,1231.6,7.20243
2112,1901.13,15.6174,0.20872,1231.98,7.28869
2113,1901.85,15.6375,0.216647,1232.34,7.57463
2114,1902.61,15.6558,0.221901,1232.76,7.68928
2115,1903.37,15.6734,0.230766,1233.21,8.03897
2116,1904.14,15.6901,0.241462,1233.69,8.42615
2117,1904.93,15.7061,0.252369,1234.2,8.76784
2118,1905.74,15.7201,0.263085,1234.78,9.17197
2119,1906.54,15.7346,0.274968,1235.34,9.57209
2120,1907.41,15.7446,0.288666,1236.06,10.0685
2121,1908.31,15.752,0.303634,1236.86,10.5594
2122,1909.15,15.7638,0.311007,1237.51,10.7005
2123,1910.09,15.7682,0.325721,1238.42,11.2138
2124,1911.05,15.771,0.338246,1239.38,11.7154
2125,1912.02,15.7732,0.348599,1240.37,12.026
