total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
1493,1292.81,14.8263,0.95534,604.015,24.9537
1494,1296.18,14.6508,0.930672,609.658,24.3548
1495,1299.31,14.4926,0.873761,614.845,22.8979
1496,1302.1,14.3604,0.791254,619.34,20.7447
1497,1304.38,14.2653,0.699306,622.863,18.3525
1498,1306.26,14.2001,0.605292,625.594,15.8932
1499,1307.75,14.1637,0.518767,627.569,13.629
1500,1308.95,14.1489,0.441855,628.972,11.6378
1501,1310.01,14.1446,0.376097,630.103,9.9373
1502,1310.9,14.1527,0.323936,630.913,8.58414
1503,1311.69,14.1687,0.283143,631.511,7.53326
1504,1312.38,14.1912,0.251309,631.942,6.74073
1505,1313.05,14.2159,0.228507,632.317,6.15427
1506,1313.69,14.2422,0.211984,632.653,5.75
1507,1314.3,14.271,0.201768,632.923,5.48008
1508,1314.92,14.2993,0.194804,633.208,5.33854
1509,1315.51,14.3301,0.192519,633.433,5.27672
1510,1316.1,14.3603,0.193428,633.681,5.33854
1511,1316.71,14.3893,0.193231,633.944,5.32682
1512,1317.31,14.4188,0.19683,634.211,5.44862
1513,1317.9,14.4495,0.201882,634.446,5.5509
1514,1318.51,14.4783,0.207767,634.73,5.72822
1515,1319.12,14.5068,0.213454,635.025,5.89226
1516,1319.74,14.535,0.22104,635.329,6.08276
1517,1320.38,14.5615,0.228908,635.683,6.27993
1518,1321.04,14.5867,0.237576,636.065,6.53596
1519,1321.68,14.6136,0.247701,636.415,6.78463
1520,1322.35,14.6383,0.253936,636.814,6.93271
1521,1323.05,14.6599,0.26574,637.304,7.25431
1522,1323.76,14.6817,0.274996,637.784,7.49375
1523,1324.5,14.7008,0.285076,638.342,7.76209
1524,1325.22,14.7218,0.292865,638.846,7.94316
1525,1325.95,14.7417,0.299943,639.378,8.13557
1526,1326.76,14.7558,0.308866,640.069,8.33854
1527,1327.54,14.7722,0.315489,640.696,8.51836
1528,1328.28,14.7913,0.319573,641.248,8.59324
1529,1329.16,14.8,0.324595,642.081,8.70165
1530,1329.94,14.8164,0.326937,642.71,8.75892
1531,1330.79,14.8276,0.326937,643.465,8.72676
1532,1331.6,14.8417,0.326213,644.148,8.71421
1533,1332.38,14.8582,0.323889,644.767,8.61684
1534,1333.19,14.8719,0.319836,645.458,8.48712
1535,1333.97,14.8883,0.314131,646.077,8.32541
1536,1334.76,14.904,0.30795,646.715,8.14517
1537,1335.55,14.9197,0.299051,647.348,7.90965
1538,1336.28,14.9396,0.28988,647.869,7.63012
1539,1336.99,14.961,0.281386,648.361,7.3951
1540,1337.76,14.9778,0.268084,648.959,7.0334
1541,1338.44,15.0013,0.258345,649.388,6.76618
1542,1339.09,15.0277,0.247947,649.739,6.47592
1543,1339.75,15.0524,0.237576,650.137,6.18971
1544,1340.37,15.0812,0.22757,650.431,5.91872
1545,1341,15.1079,0.216612,650.775,5.62361
1546,1341.61,15.1369,0.207326,651.061,5.40833
1547,1342.2,15.1677,0.196714,651.301,5.1082
1548,1342.78,15.1983,0.186603,651.549,4.84768
1549,1343.37,15.2292,0.177208,651.787,4.58598
1550,1343.89,15.2644,0.173378,651.925,4.46514
1551,1344.45,15.2974,0.167468,652.113,4.30842
1552,1344.99,15.3309,0.15944,652.286,4.11931
1553,1345.53,15.3651,0.154877,652.451,3.96863
1554,1346.06,15.3999,0.149411,652.595,3.82835
1555,1346.59,15.4349,0.145216,652.738,3.7333
1556,1347.09,15.4716,0.141275,652.839,3.61421
