total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
1798,1582.75,15.9412,0.252762,893.432,7.45822
1799,1583.49,15.9608,0.275134,893.929,8.16241
1800,1584.27,15.977,0.300908,894.526,8.87412
1801,1585.12,15.9879,0.33187,895.283,9.81071
1802,1585.98,15.9982,0.363638,896.054,10.7906
1803,1587,15.9973,0.405385,897.166,12.0494
1804,1588.11,15.9889,0.45262,898.495,13.5046
1805,1589.41,15.9667,0.509343,900.246,15.2274
1806,1590.79,15.9386,0.570941,902.178,17.1756
1807,1592.55,15.8824,0.641613,904.958,19.3665
1808,1594.54,15.809,0.710852,908.254,21.5
1809,1596.94,15.7054,0.781592,912.477,23.6868
1810,1599.67,15.577,0.832929,917.436,25.2982
1811,1602.48,15.4432,0.863652,922.565,26.2548
1812,1605.52,15.2923,0.873053,928.218,26.6036
1813,1608.5,15.1449,0.847512,933.752,25.8638
1814,1611.23,15.0172,0.800972,938.686,24.4655
1815,1613.79,14.9018,0.734344,943.241,22.4778
1816,1615.88,14.8211,0.660895,946.729,20.2577
1817,1617.74,14.7575,0.584908,949.697,17.9705
1818,1619.24,14.72,0.516896,951.866,15.9217
1819,1620.6,14.6937,0.455057,953.693,14.0557
1820,1621.77,14.6809,0.401395,955.108,12.4449
1821,1622.77,14.681,0.358056,956.123,11.172
1822,1623.72,14.6849,0.321572,957.029,10.0094
1823,1624.56,14.6967,0.294112,957.687,9.25
1824,1625.41,14.7077,0.27004,958.373,8.5257
1825,1626.18,14.7246,0.251552,958.875,7.97653
1826,1626.94,14.7422,0.238857,959.36,7.57463
1827,1627.66,14.7633,0.227369,959.734,7.21976
1828,1628.37,14.7843,0.219551,960.116,7.01783
1829,1629.09,14.8056,0.215411,960.49,6.93271
1830,1629.78,14.8281,0.209995,960.827,6.78233
1831,1630.49,14.8494,0.209267,961.202,6.71751
1832,1631.19,14.8718,0.209413,961.552,6.68487
1833,1631.87,14.8957,0.212415,961.849,6.83283
1834,1632.57,14.9179,0.214417,962.197,6.92369
1835,1633.29,14.9383,0.221591,962.612,7.16764
1836,1634.03,14.958,0.229141,963.049,7.39932
1837,1634.72,14.9805,0.240797,963.403,7.82224
1838,1635.48,14.9986,0.254686,963.896,8.3179
1839,1636.27,15.014,0.27327,964.48,8.95126
1840,1637.09,15.0277,0.296,965.124,9.68246
1841,1637.96,15.0374,0.322236,965.904,10.5416
1842,1638.85,15.0451,0.350867,966.744,11.5163
1843,1639.87,15.0442,0.385197,967.872,12.6713
1844,1640.92,15.0403,0.420516,969.093,13.8564
1845,1642.13,15.0245,0.460921,970.713,15.1575
1846,1643.48,14.9986,0.501828,972.66,16.5189
1847,1644.91,14.967,0.5396,974.786,17.75
1848,1646.39,14.9315,0.569898,977.035,18.7116
1849,1648.09,14.8796,0.596557,979.817,19.5704
1850,1649.86,14.8221,0.613617,982.776,20.078
1851,1651.71,14.7595,0.618262,985.886,20.2237
1852,1653.46,14.7042,0.6113,988.754,19.9499
1853,1655.24,14.6464,0.592258,991.69,19.3019
1854,1656.86,14.6002,0.565476,994.24,18.4103
1855,1658.49,14.5534,0.527532,996.801,17.1373
1856,1659.85,14.5267,0.488859,998.702,15.8548
1857,1661.14,14.5054,0.446151,1000.42,14.4633
1858,1662.35,14.4899,0.402609,1001.95,13.0336
1859,1663.39,14.4872,0.363407,1003.06,11.7606
1860,1664.33,14.4915,0.326447,1003.95,10.5475
1861,1665.22,14.4994,0.29276,1004.71,9.45053
1862,1666.04,14.513,0.26352,1005.3,8.51469
