total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
5783,5464.63,23.5782,0.0078125,4559.86,1.41421
5784,5465.36,23.5986,0,4559.86,1.41421
5785,5466.08,23.6188,0.0110485,4559.86,1.41421
5786,5466.82,23.6387,0,4559.86,0
5787,5467.55,23.6588,0.0078125,4559.86,0
5788,5468.27,23.6793,0,4559.86,0
5789,5469,23.6993,0.0078125,4559.86,1.41421
5790,5469.73,23.7192,0.0078125,4559.87,1.41421
5791,5470.45,23.7398,0,4559.86,1.41421
5792,5471.18,23.7597,0,4559.87,1.41421
5793,5471.9,23.7804,0.0135316,4559.86,0
5794,5472.64,23.8001,0,4559.88,1.41421
5795,5473.36,23.8209,0.0078125,4559.86,0
5796,5474.08,23.841,0,4559.87,0
5797,5474.81,23.8612,0.0078125,4559.88,1.41421
5798,5475.53,23.8819,0,4559.86,1.41421
5799,5476.26,23.9024,0.0078125,4559.87,0
5800,5476.99,23.9222,0.0078125,4559.88,nan
5801,5477.71,23.9427,0.0078125,4559.88,0
5802,5478.44,23.9632,0.0110485,4559.88,1.41421
5803,5479.16,23.9838,0.0110485,4559.87,nan
5804,5479.88,24.0044,0.0078125,4559.87,0
5805,5480.6,24.0249,0.0110485,4559.87,0
5806,5481.33,24.0454,0.0078125,4559.87,0
5807,5482.05,24.0659,0,4559.87,2
5808,5482.77,24.0862,0.0078125,4559.88,nan
5809,5483.5,24.1067,0.0078125,4559.88,0
5810,5484.22,24.1272,0.0078125,4559.88,nan
5811,5484.94,24.1477,0,4559.88,1.41421
5812,5485.67,24.1682,0,4559.88,1.41421
5813,5486.39,24.1889,0.0078125,4559.89,1.41421
5814,5487.11,24.2097,0,4559.88,0
5815,5487.83,24.2302,0.0078125,4559.88,1.41421
5816,5488.55,24.2509,0.0110485,4559.89,0
5817,5489.27,24.2717,0,4559.88,0
5818,5489.99,24.2921,0.0110485,4559.89,1.41421
5819,5490.71,24.3132,0.0078125,4559.88,1.41421
5820,5491.43,24.3336,0.0078125,4559.89,1.41421
5821,5492.15,24.3547,0.0110485,4559.88,1.41421
5822,5492.88,24.375,nan,4559.89,nan
5823,5493.59,24.3962,0.0078125,4559.88,0
5824,5494.32,24.4164,0.0078125,4559.89,2.44949
5825,5495.03,24.4374,0.0110485,4559.89,2
5826,5495.75,24.4586,0,4559.88,0
5827,5496.47,24.4792,0.0110485,4559.89,nan
5828,5497.19,24.4999,0.0078125,4559.89,nan
5829,5497.91,24.5208,0,4559.89,nan
5830,5498.62,24.5418,0,4559.89,0
5831,5499.34,24.5628,0.0078125,4559.89,nan
5832,5500.06,24.5838,0.0078125,4559.89,2
5833,5500.77,24.6048,0,4559.89,1.41421
5834,5501.49,24.6258,0,4559.89,1.41421
5835,5502.21,24.6467,0.0078125,4559.89,0
5836,5502.92,24.6677,0.0135316,4559.89,1.41421
5837,5503.64,24.6887,0.0110485,4559.89,nan
5838,5504.36,24.7097,0.0110485,4559.89,0
5839,5505.07,24.7307,nan,4559.89,0
5840,5505.79,24.7515,0.0078125,4559.9,nan
5841,5506.5,24.7728,0.0078125,4559.9,0
5842,5507.22,24.7941,0.0135316,4559.89,nan
5843,5507.93,24.8151,0,4559.89,nan
5844,5508.65,24.8358,0,4559.9,2
5845,5509.36,24.8575,0,4559.89,1.41421
5846,5510.08,24.8783,0,4559.9,nan
5847,5510.79,24.8999,0.0078125,4559.89,0
5848,5511.51,24.9207,0,4559.91,nan
5849,5512.21,24.9424,0.0110485,4559.89,nan
5850,5512.93,24.9631,0.0078125,4559.91,0
5851,5513.64,24.9847,0.0078125,4559.9,1.41421
5852,5514.36,25.0056,0,4559.91,nan
5853,5515.07,25.027,0.0078125,4559.91,0
5854,5515.78,25.0485,0,4559.91,nan
5855,5516.5,25.0695,0.0078125,4559.91,1.41421
5856,5517.21,25.0909,0,4559.91,0
5857,5517.92,25.1124,0.0078125,4559.91,1.41421
5858,5518.63,25.1338,0,4559.91,0
5859,5519.34,25.1553,0.0110485,4559.9,1.41421
5860,5520.05,25.1768,0.0078125,4559.91,0
5861,5520.76,25.1982,0.0078125,4559.9,2
5862,5521.47,25.2193,0.0078125,4559.91,nan
5863,5522.18,25.2411,0,4559.91,0
5864,5522.89,25.2626,0.0078125,4559.91,0
5865,5523.6,25.284,0.0078125,4559.91,2
5866,5524.31,25.3055,0.0078125,4559.91,nan
5867,5525.02,25.327,0.0078125,4559.91,nan
5868,5525.73,25.3482,0,4559.92,1.41421
5869,5526.44,25.3697,0,4559.92,1.41421
5870,5527.15,25.3918,0.0110485,4559.91,0
5871,5527.86,25.4131,0.0078125,4559.92,1.41421
5872,5528.57,25.4345,0.0110485,4559.92,2
5873,5529.27,25.4567,0.0110485,4559.91,0
5874,5529.98,25.4779,0.0078125,4559.92,nan
5875,5530.69,25.4997,0.0078125,4559.91,1.41421
5876,5531.4,25.5213,0.0078125,4559.92,2
5877,5532.1,25.5431,0.0078125,4559.91,0
5878,5532.81,25.5647,0,4559.92,2
5879,5533.52,25.5866,0.0078125,4559.92,0
5880,5534.23,25.6081,0.0078125,4559.92,nan
5881,5534.93,25.63,0.0110485,4559.92,0
5882,5535.63,25.652,0,4559.92,0
5883,5536.34,25.6733,nan,4559.92,nan
5884,5537.05,25.6953,0,4559.92,0
5885,5537.75,25.7173,0.0078125,4559.92,1.41421
5886,5538.45,25.7392,0,4559.92,0
5887,5539.16,25.7612,0,4559.92,0
5888,5539.87,25.7827,0.0078125,4559.92,nan
5889,5540.58,25.8043,0.0078125,4559.93,nan
5890,5541.28,25.8263,0.0078125,4559.93,nan
5891,5541.98,25.8482,0.0078125,4559.93,0
5892,5542.68,25.8705,0.0078125,4559.92,1.41421
5893,5543.38,25.8927,0.0078125,4559.92,1.41421
5894,5544.09,25.9147,0,4559.92,nan
5895,5544.79,25.9365,nan,4559.92,1.41421
5896,5545.5,25.9584,0,4559.93,nan
5897,5546.2,25.9803,0.0078125,4559.93,1.41421
5898,5546.9,26.0026,0.0078125,4559.92,0
5899,5547.6,26.0246,0.0078125,4559.93,0
5900,5548.3,26.0466,0.0110485,4559.93,0
5901,5549,26.0688,0.0078125,4559.92,nan
5902,5549.71,26.0909,0.0078125,4559.93,1.41421
5903,5550.41,26.1129,0.0078125,4559.93,0
5904,5551.11,26.1353,0.0078125,4559.93,0
5905,5551.81,26.1572,0,4559.93,0
5906,5552.51,26.1796,0,4559.93,0
5907,5553.21,26.2014,0,4559.94,nan
5908,5553.91,26.2239,0.0078125,4559.93,2
5909,5554.61,26.2464,0,4559.93,1.41421
5910,5555.31,26.2681,0.0078125,4559.94,1.41421
5911,5556.01,26.2907,0,4559.93,0
5912,5556.71,26.3131,0,4559.93,2
5913,5557.4,26.3355,0,4559.93,1.41421
5914,5558.11,26.3573,nan,4559.94,nan
5915,5558.81,26.3797,0.0110485,4559.94,0
5916,5559.5,26.4021,0.0110485,4559.94,0
5917,5560.2,26.4245,0,4559.94,0
5918,5560.9,26.4469,0.0078125,4559.94,0
5919,5561.6,26.4694,0,4559.94,0
5920,5562.29,26.4918,0.0078125,4559.94,2
5921,5562.99,26.5142,0,4559.94,1.41421
5922,5563.69,26.5366,0.0110485,4559.94,0
5923,5564.39,26.559,0.0078125,4559.94,nan
5924,5565.08,26.5819,0.0078125,4559.94,0
5925,5565.77,26.6043,0,4559.94,1.41421
5926,5566.47,26.6267,0.0078125,4559.94,0
