total_extension_nm,DNA_extension_avg_nm,force_avg_pN,force_sd_pN,average_bp_unzipped_avg,bp_unzipped_sd
3433,3218.5,15.886,0.170225,2602.03,9.43398
3434,3219.34,15.8975,0.177337,2602.46,9.77241
3435,3220.19,15.9085,0.185824,2602.92,10.1242
3436,3221.04,15.9198,0.192479,2603.37,10.8397
3437,3221.92,15.9288,0.203125,2603.93,11.4455
3438,3222.79,15.9383,0.212559,2604.48,11.7047
3439,3223.69,15.9461,0.220867,2605.11,12.1655
3440,3224.6,15.9524,0.232643,2605.83,12.9808
3441,3225.52,15.9586,0.244258,2606.56,13.3229
3442,3226.47,15.9618,0.255404,2607.44,13.8924
3443,3227.41,15.9666,0.265998,2608.24,14.3875
3444,3228.41,15.9668,0.276434,2609.29,15.1987
3445,3229.38,15.9689,0.287129,2610.24,15.6205
3446,3230.42,15.9659,0.29785,2611.46,16.3707
3447,3231.47,15.9623,0.307007,2612.72,16.778
3448,3232.52,15.9583,0.315319,2613.98,17.1172
3449,3233.58,15.9541,0.32226,2615.26,17.5784
3450,3234.66,15.9481,0.327636,2616.64,17.8185
3451,3235.77,15.9403,0.331755,2618.12,17.9861
3452,3236.84,15.9351,0.333636,2619.44,18.0278
3453,3237.99,15.9236,0.334663,2621.11,18.2071
3454,3239.05,15.9189,0.331939,2622.4,17.7764
3455,3240.19,15.9091,0.329054,2623.97,17.7059
3456,3241.24,15.9049,0.32544,2625.24,17.5784
3457,3242.36,15.8959,0.317538,2626.75,17.1026
3458,3243.41,15.8928,0.310885,2627.95,16.8375
3459,3244.45,15.8897,0.302703,2629.15,16.4165
3460,3245.47,15.8884,0.294786,2630.26,15.7321
3461,3246.5,15.8857,0.283358,2631.43,15.346
3462,3247.51,15.885,0.273577,2632.49,14.8997
3463,3248.49,15.8867,0.264243,2633.43,14.0535
3464,3249.44,15.89,0.255613,2634.28,13.6748
3465,3250.4,15.8935,0.247331,2635.12,13.4164
3466,3251.35,15.897,0.239367,2635.96,13.0192
3467,3252.26,15.9038,0.235932,2636.64,12.8258
3468,3253.17,15.9102,0.233069,2637.33,12.7475
3469,3254.1,15.9154,0.229606,2638.08,12.5499
3470,3255.02,15.9216,0.232611,2638.79,12.8841
3471,3255.94,15.9276,0.236675,2639.52,13.0576
3472,3256.86,15.9334,0.243193,2640.26,13.4722
3473,3257.81,15.937,0.251824,2641.12,13.7113
3474,3258.76,15.9408,0.264272,2641.97,14.7648
3475,3259.76,15.9407,0.280788,2643.05,15.6684
3476,3260.75,15.9413,0.296901,2644.09,16.7332
3477,3261.81,15.937,0.316647,2645.4,17.8606
3478,3262.92,15.929,0.339821,2646.93,19.0788
3479,3264.04,15.9198,0.360625,2648.51,20.1618
3480,3265.27,15.9028,0.384483,2650.54,21.5754
3481,3266.52,15.8841,0.406982,2652.66,22.7596
3482,3267.81,15.863,0.426944,2654.92,23.9061
3483,3269.2,15.8342,0.446886,2657.6,25.0699
3484,3270.57,15.8064,0.460789,2660.21,25.8167
3485,3272.02,15.7736,0.472172,2663.11,26.4953
3486,3273.56,15.7331,0.479006,2666.42,26.8794
3487,3275.09,15.6942,0.479197,2669.65,26.7395
3488,3276.56,15.6594,0.475713,2672.64,26.6552
3489,3278.07,15.6215,0.464647,2675.79,25.9904
3490,3279.47,15.592,0.451624,2678.47,25.3081
3491,3280.88,15.5613,0.433101,2681.22,24.1247
3492,3282.18,15.5391,0.413565,2683.48,23.2056
3493,3283.5,15.5158,0.390371,2685.8,21.9317
3494,3284.7,15.5011,0.369094,2687.65,20.6882
3495,3285.89,15.4868,0.345145,2689.46,19.3778
3496,3287,15.4786,0.32403,2690.94,18.0555
3497,3288.08,15.4728,0.303885,2692.29,16.9706
3498,3289.12,15.4697,0.284084,2693.48,15.906
3499,3290.13,15.4686,0.26617,2694.57,15.1658
3500,3291.1,15.4713,0.250853,2695.44,14.3178
3501,3292.05,15.4751,0.236933,2696.24,13.5462
3502,3292.99,15.4796,0.226192,2697.03,12.7867
3503,3293.9,15.4862,0.21633,2697.69,12.0416
3504,3294.8,15.4936,0.208061,2698.3,11.8322
3505,3295.68,15.5022,0.200783,2698.85,11.225
3506,3296.55,15.5118,0.195469,2699.34,11.1355
3507,3297.45,15.5193,0.191007,2699.95,10.9316
3508,3298.32,15.5286,0.187093,2700.46,10.7703
3509,3299.18,15.5391,0.185207,2700.91,10.6536
3510,3300.04,15.5498,0.182133,2701.34,10.4881
3511,3300.89,15.5607,0.181083,2701.77,10.1242
3512,3301.75,15.5708,0.17922,2702.24,9.94987
3513,3302.62,15.5811,0.178794,2702.7,9.8995
3514,3303.47,15.5922,0.177423,2703.11,10.1489
3515,3304.33,15.6022,0.177509,2703.58,9.92472
3516,3305.17,15.614,0.177251,2703.96,10.0995
3517,3306.04,15.6236,0.176128,2704.46,10.1735
3518,3306.88,15.6355,0.175521,2704.83,9.92472
3519,3307.72,15.6472,0.174955,2705.21,9.87421
3520,3308.58,15.6574,0.174256,2705.68,9.87421
3521,3309.45,15.6676,0.173817,2706.15,9.94987
3522,3310.3,15.6784,0.173905,2706.58,9.94987
3523,3311.15,15.6896,0.173113,2707,9.87421
3524,3311.98,15.7021,0.173113,2707.34,9.74679
3525,3312.82,15.714,0.171564,2707.71,9.59166
